ROUTE,METHOD,PUBLIC_OR_PRIVATE,ROLE,AUTH_SOURCE,MIDDLEWARE,API_GUARD,CSRF,RATE_LIMIT,IDOR_SCOPE,TOKEN_TYPE,COOKIE_POLICY,SESSION_REVOCATION,TESTS
/api/contact,POST,PUBLIC_OR_UNGUARDED_REVIEW_REQUIRED,NONE_EXPLICIT,NONE_FOUND,API_EXCLUDED_BY_MATCHER,NONE_FOUND,NONE_FOUND,CHECK_FOUND,NOT_APPLICABLE_OR_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/diagnostics/definitions,GET,PUBLIC_OR_UNGUARDED_REVIEW_REQUIRED,NONE_EXPLICIT,NONE_FOUND,API_EXCLUDED_BY_MATCHER,NONE_FOUND,NONE_FOUND,NONE_FOUND,NOT_APPLICABLE_OR_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/documents/[id]/download,GET,PRIVATE_GUARD_PATTERN_FOUND,ADMIN|ASSISTANTE|COACH|ELEVE|PARENT,auth(),API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/documents/[id],GET,PRIVATE_GUARD_PATTERN_FOUND,ADMIN|ASSISTANTE,auth(),API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/eam/progress,GET,PRIVATE_GUARD_PATTERN_FOUND,AUTHENTICATED_ROLE_CHECK_REVIEW,auth(),API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,NOT_APPLICABLE_OR_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/eam/progress,POST,PRIVATE_GUARD_PATTERN_FOUND,AUTHENTICATED_ROLE_CHECK_REVIEW,auth(),API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,NOT_APPLICABLE_OR_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/eleve/bilan-diagnostic-maths-terminale,GET,PRIVATE_GUARD_PATTERN_FOUND,ELEVE,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,NOT_APPLICABLE_OR_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/eleve/bilan-diagnostic-maths-terminale,POST,PRIVATE_GUARD_PATTERN_FOUND,ELEVE,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,NOT_APPLICABLE_OR_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/eleve/nsi-pratique-2026/progress,GET,PRIVATE_GUARD_PATTERN_FOUND,ELEVE,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,NOT_APPLICABLE_OR_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/eleve/nsi-pratique-2026/progress,PUT,PRIVATE_GUARD_PATTERN_FOUND,ELEVE,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,NOT_APPLICABLE_OR_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
